"","plot_id","site_code","trt","year","block","plot","bray","turnover","nestedness"
"bray178","frue.ch_NPK_2012_3_25","frue.ch","NPK","2012","3","25",0.51440329218107,0.404040404040404,0.110362888140666
"bray179","frue.ch_Control_2008_3_27","frue.ch","Control","2008","3","27",0.447963800904977,0.440366972477064,0.00759682842791316
"bray180","frue.ch_Control_2009_3_27","frue.ch","Control","2009","3","27",0.219512195121951,0.213114754098361,0.00639744102359056
"bray181","frue.ch_Control_2010_3_27","frue.ch","Control","2010","3","27",0.380281690140845,0.234782608695652,0.145499081445193
"bray182","frue.ch_Control_2011_3_27","frue.ch","Control","2011","3","27",0.428571428571429,0.383333333333333,0.0452380952380952
"bray183","frue.ch_Control_2012_3_27","frue.ch","Control","2012","3","27",0.299270072992701,0.186440677966102,0.112829395026599
"bray184","jena.de_NPK_2014_1_ 1","jena.de","NPK","2014","1"," 1",0.493848857644991,0.474452554744526,0.0193963029004657
"bray185","jena.de_NPK_2015_1_ 1","jena.de","NPK","2015","1"," 1",0.0738916256157636,0.0157068062827225,0.058184819333041
"bray186","jena.de_NPK_2016_1_ 1","jena.de","NPK","2016","1"," 1",0.184415584415584,0.0598802395209581,0.124535344894626
"bray187","jena.de_NPK_2017_1_ 1","jena.de","NPK","2017","1"," 1",0.386503067484663,0.364406779661017,0.0220962878236456
"bray188","jena.de_NPK_2018_1_ 1","jena.de","NPK","2018","1"," 1",0.638814016172507,0.182926829268293,0.455887186904214
"bray189","jena.de_NPK_2019_1_ 1","jena.de","NPK","2019","1"," 1",0.767032967032967,0.56198347107438,0.205049495958587
"bray190","jena.de_NPK_2020_1_ 1","jena.de","NPK","2020","1"," 1",0.552795031055901,0.396648044692737,0.156146986363163
"bray191","jena.de_Control_2014_1_ 5","jena.de","Control","2014","1"," 5",0.617529880478088,0.573333333333333,0.0441965471447543
"bray192","jena.de_Control_2015_1_ 5","jena.de","Control","2015","1"," 5",0.275229357798165,0.268518518518519,0.00671083927964662
"bray193","jena.de_Control_2016_1_ 5","jena.de","Control","2016","1"," 5",0.569037656903766,0.466321243523316,0.10271641338045
"bray194","jena.de_Control_2017_1_ 5","jena.de","Control","2017","1"," 5",0.50278293135436,0.482625482625483,0.0201574487288773
"bray195","jena.de_Control_2018_1_ 5","jena.de","Control","2018","1"," 5",0.521212121212121,0.0813953488372093,0.439816772374912
"bray196","jena.de_Control_2019_1_ 5","jena.de","Control","2019","1"," 5",0.580135440180587,0.305970149253731,0.274165290926856
"bray197","jena.de_Control_2020_1_ 5","jena.de","Control","2020","1"," 5",0.518599562363239,0.424083769633508,0.0945157927297307
"bray198","jena.de_NPK_2014_2_10","jena.de","NPK","2014","2","10",0.45985401459854,0.45985401459854,0
"bray199","jena.de_NPK_2015_2_10","jena.de","NPK","2015","2","10",0.264033264033264,0.184331797235023,0.079701466798241
"bray200","jena.de_NPK_2016_2_10","jena.de","NPK","2016","2","10",0.647302904564315,0.608294930875576,0.0390079736887393
"bray201","jena.de_NPK_2017_2_10","jena.de","NPK","2017","2","10",0.34453781512605,0.23828125,0.10625656512605
"bray202","jena.de_NPK_2018_2_10","jena.de","NPK","2018","2","10",0.67578947368421,0.557471264367816,0.118318209316394
"bray203","jena.de_NPK_2019_2_10","jena.de","NPK","2019","2","10",0.59349593495935,0.393939393939394,0.199556541019956
"bray204","jena.de_NPK_2020_2_10","jena.de","NPK","2020","2","10",0.309473684210526,0.118279569892473,0.191194114318053
"bray205","jena.de_Control_2014_2_13","jena.de","Control","2014","2","13",0.242647058823529,0.225563909774436,0.0170831490490933
"bray206","jena.de_Control_2015_2_13","jena.de","Control","2015","2","13",0.238341968911917,0.209677419354839,0.0286645495570784
"bray207","jena.de_Control_2016_2_13","jena.de","Control","2016","2","13",0.315270935960591,0.162650602409639,0.152620333550953
"bray208","jena.de_Control_2017_2_13","jena.de","Control","2017","2","13",0.280542986425339,0.228155339805825,0.0523876466195141
"bray209","jena.de_Control_2018_2_13","jena.de","Control","2018","2","13",0.481108312342569,0.141666666666667,0.339441645675903
"bray210","jena.de_Control_2019_2_13","jena.de","Control","2019","2","13",0.367205542725173,0,0.367205542725173
